round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
1,95,0,0,9,2,0,37,1,-183.4,0.3
2,46,1,1,5,2,0,18,1,-98.5,0.2985
3,27,0,0,3,1,0,7,1,-90.2,0.297
4,8,0,0,3,1,0,3,1,-67.0,0.2955
5,107,0,0,7,2,0,18,1,-109.2,0.294
6,6,0,0,4,1,0,3,1,-64.5,0.2926
7,36,1,1,9,2,0,8,1,-57.0,0.2911
8,5,0,0,2,1,0,3,1,-64.5,0.2897
9,18,0,0,3,1,0,4,1,-59.6,0.2882
10,99,2,2,4,2,0,25,1,-149.2,0.2868
11,5,0,0,4,1,0,3,1,-62.5,0.2853
12,71,1,1,5,2,0,12,1,-68.9,0.2839
13,5,0,0,3,1,0,2,1,-60.5,0.2825
14,251,8,8,20,6,0,54,1,-183.1,0.2811
15,13,0,0,2,1,0,2,1,-70.5,0.2797
16,58,2,2,6,2,0,11,1,-62.9,0.2783
17,20,0,0,4,1,0,4,1,-77.1,0.2769
18,73,2,2,6,2,0,20,1,-121.6,0.2755
19,64,1,1,9,2,0,15,1,-89.5,0.2741
20,26,3,3,6,2,0,7,1,-42.3,0.2727
21,10,0,0,3,1,0,4,1,-68.1,0.2714
22,24,0,0,8,2,0,6,1,-60.0,0.27
23,172,1,1,10,2,0,22,1,-115.2,0.2687
24,32,0,0,4,2,0,5,1,-72.8,0.2673
25,23,0,0,3,1,0,8,1,-87.7,0.266
26,26,0,0,2,1,0,5,1,-89.5,0.2647
27,56,1,1,5,2,0,12,1,-82.1,0.2633
28,102,4,4,7,4,0,13,1,-79.2,0.262
29,317,10,10,28,10,0,49,1,-92.9,0.2607
30,50,0,0,3,1,0,16,1,-110.1,0.2594
31,12,0,0,2,1,0,4,1,-59.1,0.2581
32,48,0,0,5,3,0,16,1,-95.0,0.2568
33,18,0,0,3,1,0,5,1,-78.6,0.2555
34,6,0,0,4,1,0,3,1,-63.5,0.2543
35,22,0,0,4,1,0,3,1,-55.6,0.253
36,121,1,1,11,3,0,21,1,-109.7,0.2517
37,112,1,1,5,3,0,31,1,-175.9,0.2505
38,62,0,0,2,1,0,8,1,-81.1,0.2492
39,132,3,3,12,3,0,21,1,-120.7,0.248
40,200,0,0,2,1,0,41,1,-217.2,0.2467
41,41,0,0,2,1,0,7,1,-80.0,0.2455
42,48,1,1,4,2,0,13,1,-76.2,0.2443
43,353,5,5,17,8,0,41,1,-112.9,0.243
44,375,3,3,13,8,0,28,1,-99.4,0.2418
45,32,0,0,4,1,0,4,1,-60.7,0.2406
46,104,1,1,8,2,0,19,1,-106.1,0.2394
47,396,9,9,27,10,0,36,1,-70.3,0.2382
48,212,8,8,12,4,0,24,1,-49.3,0.237
49,194,1,1,7,3,0,32,1,-140.3,0.2358
50,142,0,0,5,1,0,25,1,-121.4,0.2347
51,61,0,0,5,1,0,6,1,-69.1,0.2335
52,13,0,0,5,1,0,4,1,-56.4,0.2323
