round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
1,6,0,0,3,1,0,3,1,-65.0,0.3
2,11,0,0,4,1,0,6,1,-64.3,0.2985
3,154,2,2,9,3,0,27,1,-124.4,0.297
4,31,0,0,4,1,0,10,1,-98.7,0.2955
5,195,1,1,11,4,0,30,1,-150.5,0.294
6,25,0,0,4,1,0,4,1,-84.5,0.2926
7,8,0,0,4,1,0,3,1,-66.0,0.2911
8,9,0,0,2,1,0,0,1,-59.0,0.2897
9,126,1,1,13,3,0,29,1,-133.5,0.2882
10,27,0,0,3,1,0,6,1,-87.7,0.2868
11,116,1,1,1,2,0,27,1,-142.1,0.2853
12,6,0,0,0,1,0,2,1,-60.0,0.2839
13,11,0,0,3,1,0,5,1,-74.0,0.2825
14,20,0,0,4,1,0,4,1,-76.2,0.2811
15,34,0,0,3,1,0,8,1,-88.4,0.2797
16,10,0,0,4,1,0,3,1,-66.1,0.2783
17,44,0,0,2,1,0,3,1,-99.2,0.2769
18,38,0,0,6,2,0,12,1,-80.3,0.2755
19,39,1,1,7,2,0,10,1,-65.4,0.2741
20,36,0,0,3,1,0,16,1,-97.9,0.2727
21,188,1,1,6,3,0,30,1,-139.3,0.2714
22,170,2,2,8,5,0,11,1,-62.7,0.27
23,10,0,0,3,1,0,5,1,-64.6,0.2687
24,6,0,0,2,1,0,2,1,-62.0,0.2673
25,330,7,7,23,12,0,31,1,-65.8,0.266
26,57,1,1,7,2,0,12,1,-89.7,0.2647
27,72,1,1,4,2,0,7,1,-57.8,0.2633
28,147,1,1,3,2,0,23,1,-136.9,0.262
29,12,0,0,3,1,0,4,1,-67.3,0.2607
30,47,0,0,2,1,0,7,1,-72.8,0.2594
31,5,0,0,3,1,0,3,1,-63.5,0.2581
32,70,2,2,13,3,0,12,1,-59.4,0.2568
33,33,0,0,1,1,0,6,1,-78.9,0.2555
34,27,0,0,2,1,0,6,1,-67.6,0.2543
35,176,2,2,7,3,0,28,1,-120.2,0.253
36,64,2,2,8,2,0,17,1,-95.9,0.2517
37,84,4,4,5,3,0,6,1,-35.3,0.2505
38,367,5,5,11,8,0,54,1,-161.0,0.2492
39,89,0,0,9,2,0,32,1,-167.0,0.248
40,152,4,4,15,4,0,25,1,-77.5,0.2467
41,154,4,4,10,4,0,25,1,-88.4,0.2455
42,151,1,1,5,3,0,16,1,-89.7,0.2443
43,275,6,6,15,5,0,36,1,-111.1,0.243
44,206,4,4,15,4,0,47,1,-154.1,0.2418
45,7,0,0,4,1,0,3,1,-62.6,0.2406
46,129,0,0,4,1,0,41,1,-230.2,0.2394
47,275,4,4,12,3,0,39,1,-143.2,0.2382
48,251,1,1,5,3,0,35,1,-161.7,0.237
49,30,0,0,3,1,0,5,1,-64.1,0.2358
50,20,0,0,2,1,0,4,1,-57.1,0.2347
51,93,1,1,6,2,0,9,1,-69.4,0.2335
52,8,0,0,4,1,0,4,1,-64.6,0.2323
53,177,2,2,7,3,0,32,1,-144.2,0.2312
54,17,0,0,4,1,0,2,1,-60.6,0.23
55,56,0,0,2,1,0,5,1,-74.2,0.2289
56,15,0,0,3,1,0,2,1,-48.5,0.2277
57,400,7,7,15,7,0,40,0,-51.4,0.2266
58,45,0,0,2,2,0,7,1,-71.9,0.2254
59,47,0,0,3,1,0,11,1,-89.2,0.2243
60,114,1,1,5,2,0,17,1,-96.0,0.2232
61,134,0,0,8,2,0,17,1,-99.7,0.2221
62,13,0,0,2,1,0,6,1,-66.7,0.221
63,12,0,0,2,1,0,5,1,-71.2,0.2199
64,156,3,3,22,5,0,23,1,-68.2,0.2188
65,400,4,4,8,7,0,47,0,-101.4,0.2177
66,52,2,2,7,2,0,9,1,-59.5,0.2166
67,112,0,0,9,3,0,10,1,-67.3,0.2155
